# donor_id: D001
# specimen_id: SLN001
# specimen_type: Line
# analysis_type: DSA
# analysis_date: 2024-06-28
drug	gof	dss	dsss	min_dose	max_dose	dose_25	dose_50	dose_75	doses	responses
Temozolomide	0.77	0.06	-0.19	1	10000				1,2,3,4,5,6,7,8,9,10,11,12,14,15,16,18,20,22,24,26,28,31,34,38,41,45,50,55,60,66,72,79,87,95,105,115,126,138,152,167,183,201,221,242,266,292,320,351,385,423,464,509,559,614,673,739,811,890,977,1072,1177,1292,1417,1556,1707,1874,2057,2257,2477,2719,2984,3275,3594,3944,4329,4751,5214,5722,6280,6893,7565,8302,9112,10000	0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.02,0.02,0.03,0.04,0.05,0.06,0.08,0.10,0.12,0.16,0.19,0.24
Lomustine	0.78	0.82	0.49	1	10000	722.17	1091.66	1940.40	1,2,3,4,5,6,7,8,9,10,11,12,14,15,16,18,20,22,24,26,28,31,34,38,41,45,50,55,60,66,72,79,87,95,105,115,126,138,152,167,183,201,221,242,266,292,320,351,385,423,464,509,559,614,673,739,811,890,977,1072,1177,1292,1417,1556,1707,1874,2057,2257,2477,2719,2984,3275,3594,3944,4329,4751,5214,5722,6280,6893,7565,8302,9112,10000	0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.02,0.02,0.03,0.04,0.05,0.07,0.08,0.11,0.14,0.17,0.21,0.26,0.32,0.37,0.43,0.49,0.54,0.60,0.64,0.68,0.71,0.74,0.76,0.78,0.79,0.81,0.81,0.82,0.82,0.83,0.83,0.83,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84
Carboplatin	0.82	0.86	0.64	1	10000	991.13	1333.08	1893.96	1,2,3,4,5,6,7,8,9,10,11,12,14,15,16,18,20,22,24,26,28,31,34,38,41,45,50,55,60,66,72,79,87,95,105,115,126,138,152,167,183,201,221,242,266,292,320,351,385,423,464,509,559,614,673,739,811,890,977,1072,1177,1292,1417,1556,1707,1874,2057,2257,2477,2719,2984,3275,3594,3944,4329,4751,5214,5722,6280,6893,7565,8302,9112,10000	0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.02,0.02,0.03,0.05,0.07,0.10,0.13,0.18,0.24,0.31,0.39,0.47,0.55,0.63,0.69,0.74,0.79,0.82,0.84,0.86,0.87,0.88,0.88,0.89,0.89,0.89,0.89,0.89,0.90,0.90,0.90,0.90,0.90,0.90
Irinotecan	0.83	0.60	0.52	1	10000	115.21	241.58		1,2,3,4,5,6,7,8,9,10,11,12,14,15,16,18,20,22,24,26,28,31,34,38,41,45,50,55,60,66,72,79,87,95,105,115,126,138,152,167,183,201,221,242,266,292,320,351,385,423,464,509,559,614,673,739,811,890,977,1072,1177,1292,1417,1556,1707,1874,2057,2257,2477,2719,2984,3275,3594,3944,4329,4751,5214,5722,6280,6893,7565,8302,9112,10000	0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.02,0.03,0.04,0.05,0.06,0.08,0.11,0.14,0.17,0.21,0.25,0.29,0.33,0.37,0.41,0.44,0.46,0.48,0.50,0.51,0.52,0.53,0.54,0.54,0.54,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55
Cisplatin	0.92	0.28	0.19	1	10000	4499.53			1,2,3,4,5,6,7,8,9,10,11,12,14,15,16,18,20,22,24,26,28,31,34,38,41,45,50,55,60,66,72,79,87,95,105,115,126,138,152,167,183,201,221,242,266,292,320,351,385,423,464,509,559,614,673,739,811,890,977,1072,1177,1292,1417,1556,1707,1874,2057,2257,2477,2719,2984,3275,3594,3944,4329,4751,5214,5722,6280,6893,7565,8302,9112,10000	0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.03,0.03,0.04,0.05,0.06,0.07,0.08,0.10,0.12,0.14,0.16,0.18,0.21,0.24,0.27,0.30,0.33,0.36,0.39,0.42,0.44,0.47,0.49
Etoposide	0.76	0.62	0.53	1	10000	1166.57	1900.34		1,2,3,4,5,6,7,8,9,10,11,12,14,15,16,18,20,22,24,26,28,31,34,38,41,45,50,55,60,66,72,79,87,95,105,115,126,138,152,167,183,201,221,242,266,292,320,351,385,423,464,509,559,614,673,739,811,890,977,1072,1177,1292,1417,1556,1707,1874,2057,2257,2477,2719,2984,3275,3594,3944,4329,4751,5214,5722,6280,6893,7565,8302,9112,10000	0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.02,0.02,0.03,0.04,0.06,0.08,0.10,0.13,0.17,0.21,0.25,0.30,0.36,0.41,0.45,0.49,0.53,0.56,0.59,0.60,0.62,0.63,0.64,0.65,0.65,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.67,0.67
Paclitaxel	0.95	0.87	0.64	1	10000	738.91	1190.90	2040.06	1,2,3,4,5,6,7,8,9,10,11,12,14,15,16,18,20,22,24,26,28,31,34,38,41,45,50,55,60,66,72,79,87,95,105,115,126,138,152,167,183,201,221,242,266,292,320,351,385,423,464,509,559,614,673,739,811,890,977,1072,1177,1292,1417,1556,1707,1874,2057,2257,2477,2719,2984,3275,3594,3944,4329,4751,5214,5722,6280,6893,7565,8302,9112,10000	0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.03,0.03,0.04,0.05,0.07,0.08,0.10,0.12,0.15,0.18,0.21,0.25,0.29,0.34,0.39,0.44,0.49,0.54,0.59,0.64,0.68,0.72,0.75,0.78,0.81,0.83,0.84,0.86,0.87,0.88,0.89,0.89,0.90,0.90,0.91,0.91,0.91,0.91,0.92,0.92
Vincristine	0.90	0.94	0.75	1	10000	60.27	95.48	175.08	1,2,3,4,5,6,7,8,9,10,11,12,14,15,16,18,20,22,24,26,28,31,34,38,41,45,50,55,60,66,72,79,87,95,105,115,126,138,152,167,183,201,221,242,266,292,320,351,385,423,464,509,559,614,673,739,811,890,977,1072,1177,1292,1417,1556,1707,1874,2057,2257,2477,2719,2984,3275,3594,3944,4329,4751,5214,5722,6280,6893,7565,8302,9112,10000	0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.02,0.02,0.03,0.04,0.04,0.06,0.07,0.09,0.11,0.14,0.17,0.21,0.25,0.29,0.34,0.39,0.45,0.50,0.55,0.60,0.64,0.68,0.71,0.74,0.76,0.78,0.80,0.81,0.82,0.83,0.83,0.84,0.84,0.84,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86
Erlotinib	0.89	0.95	0.79	1	10000	17.83	29.62	58.13	1,2,3,4,5,6,7,8,9,10,11,12,14,15,16,18,20,22,24,26,28,31,34,38,41,45,50,55,60,66,72,79,87,95,105,115,126,138,152,167,183,201,221,242,266,292,320,351,385,423,464,509,559,614,673,739,811,890,977,1072,1177,1292,1417,1556,1707,1874,2057,2257,2477,2719,2984,3275,3594,3944,4329,4751,5214,5722,6280,6893,7565,8302,9112,10000	0.00,0.00,0.00,0.01,0.02,0.02,0.04,0.05,0.06,0.08,0.10,0.12,0.16,0.18,0.21,0.25,0.30,0.35,0.39,0.43,0.47,0.52,0.57,0.62,0.65,0.68,0.71,0.74,0.76,0.77,0.79,0.80,0.81,0.82,0.83,0.83,0.84,0.84,0.84,0.84,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85
Gefitinib	0.86	0.74	0.44	1	10000	972.28	1531.12	3541.41	1,2,3,4,5,6,7,8,9,10,11,12,14,15,16,18,20,22,24,26,28,31,34,38,41,45,50,55,60,66,72,79,87,95,105,115,126,138,152,167,183,201,221,242,266,292,320,351,385,423,464,509,559,614,673,739,811,890,977,1072,1177,1292,1417,1556,1707,1874,2057,2257,2477,2719,2984,3275,3594,3944,4329,4751,5214,5722,6280,6893,7565,8302,9112,10000	0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.02,0.02,0.03,0.04,0.05,0.07,0.09,0.11,0.14,0.17,0.21,0.25,0.30,0.35,0.41,0.46,0.51,0.55,0.60,0.63,0.66,0.69,0.71,0.73,0.74,0.75,0.76,0.77,0.77,0.78,0.78,0.78,0.78,0.78,0.78,0.79,0.79
Afatinib	0.92	1.00	0.78	1	10000	181.24	279.67	445.76	1,2,3,4,5,6,7,8,9,10,11,12,14,15,16,18,20,22,24,26,28,31,34,38,41,45,50,55,60,66,72,79,87,95,105,115,126,138,152,167,183,201,221,242,266,292,320,351,385,423,464,509,559,614,673,739,811,890,977,1072,1177,1292,1417,1556,1707,1874,2057,2257,2477,2719,2984,3275,3594,3944,4329,4751,5214,5722,6280,6893,7565,8302,9112,10000	0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.03,0.04,0.05,0.06,0.07,0.09,0.12,0.14,0.17,0.21,0.25,0.30,0.36,0.41,0.47,0.53,0.58,0.63,0.68,0.73,0.77,0.80,0.83,0.85,0.87,0.89,0.90,0.91,0.92,0.92,0.93,0.93,0.94,0.94,0.94,0.94,0.94,0.94,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95
