# donor_id: D003
# specimen_id: SLN001
# specimen_type: Line
# analysis_type: DSA
# analysis_date: 2022-09-16
drug	gof	dss	dsss	min_dose	max_dose	dose_25	dose_50	dose_75	doses	responses
Temozolomide	0.95	0.43	0.20	1	10000	3692.24	5529.28	9205.96	1,2,3,4,5,6,7,8,9,10,11,12,14,15,16,18,20,22,24,26,28,31,34,38,41,45,50,55,60,66,72,79,87,95,105,115,126,138,152,167,183,201,221,242,266,292,320,351,385,423,464,509,559,614,673,739,811,890,977,1072,1177,1292,1417,1556,1707,1874,2057,2257,2477,2719,2984,3275,3594,3944,4329,4751,5214,5722,6280,6893,7565,8302,9112,10000	0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.02,0.03,0.03,0.04,0.06,0.07,0.09,0.12,0.15,0.19,0.24,0.29,0.34,0.40,0.46,0.52,0.58,0.63,0.67,0.71,0.75,0.77
Lomustine	0.91	0.77	0.53	1	10000	623.08	980.38	2679.76	1,2,3,4,5,6,7,8,9,10,11,12,14,15,16,18,20,22,24,26,28,31,34,38,41,45,50,55,60,66,72,79,87,95,105,115,126,138,152,167,183,201,221,242,266,292,320,351,385,423,464,509,559,614,673,739,811,890,977,1072,1177,1292,1417,1556,1707,1874,2057,2257,2477,2719,2984,3275,3594,3944,4329,4751,5214,5722,6280,6893,7565,8302,9112,10000	0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.02,0.02,0.03,0.04,0.05,0.06,0.08,0.10,0.13,0.16,0.20,0.24,0.29,0.34,0.39,0.45,0.50,0.54,0.59,0.62,0.65,0.68,0.70,0.71,0.73,0.74,0.74,0.75,0.76,0.76,0.76,0.76,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77
Carboplatin	0.73	0.81	0.54	1	10000	460.55	643.72	1246.74	1,2,3,4,5,6,7,8,9,10,11,12,14,15,16,18,20,22,24,26,28,31,34,38,41,45,50,55,60,66,72,79,87,95,105,115,126,138,152,167,183,201,221,242,266,292,320,351,385,423,464,509,559,614,673,739,811,890,977,1072,1177,1292,1417,1556,1707,1874,2057,2257,2477,2719,2984,3275,3594,3944,4329,4751,5214,5722,6280,6893,7565,8302,9112,10000	0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.02,0.03,0.04,0.06,0.08,0.11,0.15,0.20,0.26,0.32,0.39,0.47,0.53,0.59,0.64,0.68,0.71,0.73,0.74,0.75,0.76,0.77,0.77,0.77,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78,0.78
Irinotecan	0.91	0.85	0.74	1	10000	274.54	415.92	845.83	1,2,3,4,5,6,7,8,9,10,11,12,14,15,16,18,20,22,24,26,28,31,34,38,41,45,50,55,60,66,72,79,87,95,105,115,126,138,152,167,183,201,221,242,266,292,320,351,385,423,464,509,559,614,673,739,811,890,977,1072,1177,1292,1417,1556,1707,1874,2057,2257,2477,2719,2984,3275,3594,3944,4329,4751,5214,5722,6280,6893,7565,8302,9112,10000	0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.02,0.02,0.03,0.04,0.05,0.07,0.09,0.12,0.15,0.19,0.23,0.28,0.34,0.40,0.45,0.51,0.56,0.61,0.65,0.68,0.71,0.73,0.74,0.76,0.77,0.77,0.78,0.78,0.79,0.79,0.79,0.79,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80,0.80
Cisplatin	0.82	0.29	0.04	1	10000	4492.52	9241.76		1,2,3,4,5,6,7,8,9,10,11,12,14,15,16,18,20,22,24,26,28,31,34,38,41,45,50,55,60,66,72,79,87,95,105,115,126,138,152,167,183,201,221,242,266,292,320,351,385,423,464,509,559,614,673,739,811,890,977,1072,1177,1292,1417,1556,1707,1874,2057,2257,2477,2719,2984,3275,3594,3944,4329,4751,5214,5722,6280,6893,7565,8302,9112,10000	0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.03,0.03,0.04,0.04,0.05,0.06,0.07,0.09,0.10,0.12,0.14,0.16,0.18,0.21,0.24,0.27,0.30,0.33,0.37,0.40,0.43,0.47,0.50,0.52
Etoposide	0.73	0.51	0.28	1	10000	1730.08	3132.23		1,2,3,4,5,6,7,8,9,10,11,12,14,15,16,18,20,22,24,26,28,31,34,38,41,45,50,55,60,66,72,79,87,95,105,115,126,138,152,167,183,201,221,242,266,292,320,351,385,423,464,509,559,614,673,739,811,890,977,1072,1177,1292,1417,1556,1707,1874,2057,2257,2477,2719,2984,3275,3594,3944,4329,4751,5214,5722,6280,6893,7565,8302,9112,10000	0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.02,0.02,0.03,0.04,0.06,0.08,0.10,0.13,0.16,0.20,0.24,0.29,0.34,0.38,0.42,0.46,0.49,0.51,0.53,0.55,0.56,0.57,0.57,0.58,0.58,0.59,0.59,0.59,0.59,0.59
Paclitaxel	0.90	0.84	0.62	1	10000	1269.38	1956.50	3015.55	1,2,3,4,5,6,7,8,9,10,11,12,14,15,16,18,20,22,24,26,28,31,34,38,41,45,50,55,60,66,72,79,87,95,105,115,126,138,152,167,183,201,221,242,266,292,320,351,385,423,464,509,559,614,673,739,811,890,977,1072,1177,1292,1417,1556,1707,1874,2057,2257,2477,2719,2984,3275,3594,3944,4329,4751,5214,5722,6280,6893,7565,8302,9112,10000	0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.02,0.02,0.03,0.03,0.04,0.05,0.06,0.08,0.10,0.12,0.15,0.18,0.22,0.26,0.31,0.36,0.41,0.47,0.53,0.59,0.65,0.70,0.74,0.79,0.82,0.86,0.88,0.90,0.92,0.94,0.95,0.96,0.97,0.98,0.98,0.98
Vincristine	0.74	1.00	0.80	1	10000	38.67	56.86	83.61	1,2,3,4,5,6,7,8,9,10,11,12,14,15,16,18,20,22,24,26,28,31,34,38,41,45,50,55,60,66,72,79,87,95,105,115,126,138,152,167,183,201,221,242,266,292,320,351,385,423,464,509,559,614,673,739,811,890,977,1072,1177,1292,1417,1556,1707,1874,2057,2257,2477,2719,2984,3275,3594,3944,4329,4751,5214,5722,6280,6893,7565,8302,9112,10000	0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.02,0.02,0.03,0.04,0.05,0.06,0.08,0.10,0.12,0.15,0.19,0.24,0.28,0.34,0.41,0.48,0.54,0.60,0.66,0.72,0.77,0.81,0.85,0.88,0.91,0.93,0.94,0.96,0.97,0.97,0.98,0.98,0.99,0.99,0.99,0.99,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
Erlotinib	0.80	1.00	0.85	1	10000	57.05	95.16	160.56	1,2,3,4,5,6,7,8,9,10,11,12,14,15,16,18,20,22,24,26,28,31,34,38,41,45,50,55,60,66,72,79,87,95,105,115,126,138,152,167,183,201,221,242,266,292,320,351,385,423,464,509,559,614,673,739,811,890,977,1072,1177,1292,1417,1556,1707,1874,2057,2257,2477,2719,2984,3275,3594,3944,4329,4751,5214,5722,6280,6893,7565,8302,9112,10000	0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.03,0.03,0.04,0.05,0.06,0.07,0.08,0.10,0.12,0.14,0.17,0.20,0.24,0.27,0.31,0.35,0.40,0.45,0.50,0.55,0.60,0.64,0.69,0.73,0.76,0.80,0.83,0.85,0.87,0.89,0.91,0.92,0.93,0.94,0.95,0.95,0.96,0.96,0.97,0.97,0.97,0.97,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98
Gefitinib	0.81	0.73	0.60	1	10000	1266.33	2016.56	3893.02	1,2,3,4,5,6,7,8,9,10,11,12,14,15,16,18,20,22,24,26,28,31,34,38,41,45,50,55,60,66,72,79,87,95,105,115,126,138,152,167,183,201,221,242,266,292,320,351,385,423,464,509,559,614,673,739,811,890,977,1072,1177,1292,1417,1556,1707,1874,2057,2257,2477,2719,2984,3275,3594,3944,4329,4751,5214,5722,6280,6893,7565,8302,9112,10000	0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.03,0.04,0.05,0.06,0.08,0.10,0.12,0.15,0.18,0.22,0.26,0.31,0.36,0.41,0.46,0.51,0.56,0.60,0.64,0.68,0.71,0.73,0.75,0.77,0.78,0.79,0.80,0.81,0.82,0.82,0.82,0.83,0.83
